time,status,f0_
2024-03-09 00:00:00,approved,9
2024-03-09 00:00:00,denied,6
2024-03-09 00:00:00,refunded,1
2024-03-09 00:01:00,denied,8
2024-03-09 00:01:00,approved,13
2024-03-09 00:02:00,refunded,1
2024-03-09 00:02:00,approved,11
2024-03-09 00:02:00,denied,7
2024-03-09 00:03:00,denied,3
2024-03-09 00:03:00,approved,12
2024-03-09 00:04:00,approved,11
2024-03-09 00:05:00,denied,2
2024-03-09 00:05:00,approved,9
2024-03-09 00:06:00,denied,2
2024-03-09 00:06:00,approved,9
2024-03-09 00:07:00,reversed,1
2024-03-09 00:07:00,denied,1
2024-03-09 00:07:00,approved,11
2024-03-09 00:08:00,approved,7
2024-03-09 00:08:00,denied,2
2024-03-09 00:09:00,approved,9
2024-03-09 00:10:00,denied,1
2024-03-09 00:10:00,approved,10
2024-03-09 00:11:00,approved,14
2024-03-09 00:11:00,denied,2
2024-03-09 00:12:00,approved,10
2024-03-09 00:13:00,approved,11
2024-03-09 00:14:00,approved,7
2024-03-09 00:15:00,approved,6
2024-03-09 00:16:00,approved,7
2024-03-09 00:17:00,approved,7
2024-03-09 00:18:00,approved,3
2024-03-09 00:19:00,approved,7
2024-03-09 00:19:00,denied,3
2024-03-09 00:19:00,refunded,1
2024-03-09 00:20:00,denied,1
2024-03-09 00:20:00,approved,13
2024-03-09 00:21:00,approved,6
2024-03-09 00:21:00,denied,1
2024-03-09 00:22:00,approved,3
2024-03-09 00:23:00,approved,10
2024-03-09 00:23:00,denied,2
2024-03-09 00:24:00,approved,10
2024-03-09 00:24:00,denied,1
2024-03-09 00:25:00,approved,3
2024-03-09 00:26:00,approved,7
2024-03-09 00:26:00,denied,2
2024-03-09 00:27:00,denied,2
2024-03-09 00:27:00,approved,8
2024-03-09 00:28:00,approved,11
2024-03-09 00:28:00,denied,2
2024-03-09 00:29:00,denied,1
2024-03-09 00:29:00,approved,5
2024-03-09 00:30:00,denied,2
2024-03-09 00:30:00,approved,6
2024-03-09 00:31:00,approved,8
2024-03-09 00:32:00,approved,4
2024-03-09 00:32:00,denied,2
2024-03-09 00:33:00,denied,3
2024-03-09 00:33:00,approved,4
2024-03-09 00:34:00,denied,1
2024-03-09 00:34:00,approved,7
2024-03-09 00:35:00,approved,8
2024-03-09 00:36:00,denied,1
2024-03-09 00:36:00,approved,10
2024-03-09 00:37:00,approved,10
2024-03-09 00:37:00,denied,3
2024-03-09 00:38:00,approved,7
2024-03-09 00:38:00,denied,1
2024-03-09 00:39:00,approved,6
2024-03-09 00:40:00,denied,1
2024-03-09 00:40:00,approved,6
2024-03-09 00:41:00,approved,5
2024-03-09 00:41:00,denied,1
2024-03-09 00:42:00,approved,6
2024-03-09 00:43:00,approved,4
2024-03-09 00:44:00,approved,4
2024-03-09 00:45:00,approved,5
2024-03-09 00:46:00,approved,2
2024-03-09 00:47:00,approved,6
2024-03-09 00:47:00,reversed,1
2024-03-09 00:48:00,approved,4
2024-03-09 00:49:00,denied,3
2024-03-09 00:49:00,approved,11
2024-03-09 00:50:00,approved,6
2024-03-09 00:50:00,denied,5
2024-03-09 00:51:00,approved,2
2024-03-09 00:52:00,approved,10
2024-03-09 00:52:00,denied,1
2024-03-09 00:53:00,denied,2
2024-03-09 00:53:00,approved,5
2024-03-09 00:54:00,denied,1
2024-03-09 00:54:00,approved,5
2024-03-09 00:55:00,approved,2
2024-03-09 00:55:00,denied,3
2024-03-09 00:56:00,denied,1
2024-03-09 00:56:00,reversed,1
2024-03-09 00:56:00,approved,2
2024-03-09 00:57:00,approved,2
2024-03-09 00:57:00,denied,1
2024-03-09 00:58:00,approved,3
2024-03-09 00:58:00,denied,1
2024-03-09 00:59:00,approved,4
2024-03-09 00:59:00,denied,1
2024-03-09 01:00:00,approved,2
2024-03-09 01:01:00,approved,3
2024-03-09 01:01:00,denied,1
2024-03-09 01:02:00,approved,4
2024-03-09 01:03:00,approved,5
2024-03-09 01:04:00,approved,12
2024-03-09 01:05:00,approved,5
2024-03-09 01:06:00,approved,5
2024-03-09 01:07:00,denied,3
2024-03-09 01:07:00,approved,1
2024-03-09 01:08:00,denied,1
2024-03-09 01:08:00,backend_reversed,1
2024-03-09 01:08:00,approved,3
2024-03-09 01:09:00,approved,2
2024-03-09 01:10:00,approved,5
2024-03-09 01:11:00,approved,3
2024-03-09 01:11:00,denied,1
2024-03-09 01:12:00,approved,5
2024-03-09 01:12:00,denied,2
2024-03-09 01:13:00,denied,2
2024-03-09 01:13:00,approved,5
2024-03-09 01:14:00,approved,4
2024-03-09 01:15:00,approved,2
2024-03-09 01:16:00,approved,5
2024-03-09 01:17:00,approved,5
2024-03-09 01:18:00,approved,1
2024-03-09 01:19:00,approved,4
2024-03-09 01:20:00,approved,3
2024-03-09 01:21:00,approved,1
2024-03-09 01:22:00,refunded,1
2024-03-09 01:22:00,approved,2
2024-03-09 01:23:00,approved,3
2024-03-09 01:24:00,denied,1
2024-03-09 01:24:00,approved,2
2024-03-09 01:25:00,approved,2
2024-03-09 01:25:00,denied,1
2024-03-09 01:26:00,approved,2
2024-03-09 01:26:00,denied,1
2024-03-09 01:27:00,approved,5
2024-03-09 01:27:00,denied,1
2024-03-09 01:28:00,approved,5
2024-03-09 01:29:00,denied,1
2024-03-09 01:29:00,approved,2
2024-03-09 01:30:00,approved,1
2024-03-09 01:30:00,denied,2
2024-03-09 01:31:00,denied,2
2024-03-09 01:31:00,approved,2
2024-03-09 01:32:00,approved,3
2024-03-09 01:32:00,denied,1
